Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-15,78248.9897040563,78768.9165459437,77902.37180946468,78508.953125,121235,0.0,0
2018-10-16,78855.5770890884,79202.19501035912,78162.34124654696,78422.3046875,154266,0.0,0
2018-10-17,79548.81040060573,80068.73726596916,78335.64771475771,78682.265625,176653,0.0,0
2018-10-18,78682.26313803514,79288.8444617865,78335.64523874864,78942.2265625,156134,0.0,0
2018-10-19,78855.57208767837,79202.18998696488,78248.99076392701,78942.2265625,138863,0.0,0
2018-10-22,78595.60374352508,79722.11184569247,78335.6403353326,79462.1484375,129576,0.0,0
2018-10-23,79028.88103732163,80242.04368482437,78248.99076392701,78942.2265625,221143,0.0,0
2018-10-24,79462.15165638413,81541.85900616953,78682.2614002146,80761.96875,299071,0.0,0
2018-10-25,80155.38636899946,80761.96767125136,78855.56929274542,80328.6953125,286322,0.0,0
2018-10-26,79722.11896036916,82061.78984290174,78855.5741890608,79808.7734375,246767,0.0,0
2018-10-29,79982.07665532177,80848.62136448019,78508.95064975247,78768.9140625,252240,0.0,0
2018-10-30,78682.25850387168,79202.18532217921,78075.67721584624,78335.640625,207504,0.0,0
2018-10-31,78162.33663383152,79722.1171875,77729.0642578125,79722.1171875,244759,0.0,0
2018-11-01,79115.53551214325,79548.80788625138,78682.26313803514,78942.2265625,144728,0.0,0
2018-11-02,78682.25821292258,79548.80290689749,78682.25821292258,79462.1484375,217379,0.0,0
2018-11-05,78768.91583962912,79288.84267685439,78075.68005666208,78855.5703125,147217,0.0,0
2018-11-06,79288.84552401747,79375.5,78682.26419213974,79375.5,152050,0.0,0
2018-11-07,78942.22515131938,79895.42435731774,78942.22515131938,79635.4609375,172504,0.0,0
2018-11-08,79895.4332217262,81455.21391369049,79895.4332217262,80068.7421875,294065,0.0,0
2018-11-09,80068.73259750812,80675.313905065,79375.49681744311,79982.078125,180044,0.0,0
2018-11-12,79808.76954801503,81195.24111453863,79808.76954801503,80761.96875,153045,0.0,0
2018-11-13,80502.00068412162,80502.00068412162,78855.56579391891,80155.3828125,142484,0.0,0
